symbol,symbol_raw,name,type,exchange
GOLL54.SA,GOLL54,GOL Linhas Aereas Inteligentes S.A. Pfd,stock,
AZUL4.SA,AZUL4,Azul SA Pfd Registered Shs,stock,
RAIZ4.SA,RAIZ4,Raizen SA Non-Cum Perp Pfd Registered Shs,stock,
B3SA3.SA,B3SA3,"B3 SA - Brasil, Bolsa, Balcao",stock,
CSAN3.SA,CSAN3,Cosan S.A.,stock,
VALE3.SA,VALE3,Vale S.A.,stock,
PETR4.SA,PETR4,Petroleo Brasileiro SA Pfd,stock,
MGLU3.SA,MGLU3,Magazine Luiza S.A.,stock,
BRKM5.SA,BRKM5,Braskem S.A. Pfd A,stock,
BBDC4.SA,BBDC4,Banco Bradesco SA Pfd,stock,
ASAI3.SA,ASAI3,Sendas Distribuidora SA,stock,
COGN3.SA,COGN3,Cogna Educacao S.A.,stock,
PCAR3.SA,PCAR3,Companhia Brasileira de Distribuicao,stock,
BBAS3.SA,BBAS3,Banco do Brasil S.A.,stock,
GSFI11.SA,GSFI11,General Shopping e Outlets do Brasil Fundo de Investimento Imobiliario,fund,
LREN3.SA,LREN3,Lojas Renner S.A.,stock,
VAMO3.SA,VAMO3,"Vamos Locacao de Caminhoes, Maquinas e Equipamentos SA",stock,
ITUB4.SA,ITUB4,Itau Unibanco Holding SA Pfd,stock,
NATU3.SA,NATU3,Natura Cosmeticos SA,stock,
VBBR3.SA,VBBR3,Vibra Energia SA,stock,
MRVE3.SA,MRVE3,MRV Engenharia e Participacoes S.A.,stock,
ABEV3.SA,ABEV3,Ambev SA,stock,
AZTE3.SA,AZTE3,Azevedo & Travassos Energia S.A,stock,
RAIL3.SA,RAIL3,Rumo SA,stock,
AZEV4.SA,AZEV4,Azevedo & Travassos SA Pfd,stock,
CVCB3.SA,CVCB3,CVC Brasil Operadora e Agencia de Viagens SA,stock,
CPLE6.SA,CPLE6,Companhia Paranaense de Energia - COPEL Pfd Registered B,stock,
ENEV3.SA,ENEV3,Eneva S.A.,stock,
POMO4.SA,POMO4,Marcopolo SA Pfd,stock,
ITSA4.SA,ITSA4,Itausa SA Non-Cum Perp Pfd Registered Shs,stock,
CMIG4.SA,CMIG4,Companhia Energetica de Minas Gerais SA Pfd,stock,
AMBP3.SA,AMBP3,Ambipar Participacoes e Empreendimentos SA,stock,
MBRF3.SA,MBRF3,MBRF Global Foods Company S.A.,stock,
RENT3.SA,RENT3,Localiza Rent A Car SA,stock,
PETR3.SA,PETR3,Petroleo Brasileiro SA,stock,
USIM5.SA,USIM5,Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd A,stock,
RADL3.SA,RADL3,Raia Drogasil S.A.,stock,
GMAT3.SA,GMAT3,Grupo Mateus SA,stock,
SHPP11.SA,SHPP11,Shopping Patio Paulista Fundo De Investimento Imobiliario Responsabilidade Limitada,fund,
AZEV3.SA,AZEV3,Azevedo & Travassos SA,stock,
CSNA3.SA,CSNA3,Companhia Siderurgica Nacional,stock,
BEEF3.SA,BEEF3,Minerva S.A.,stock,
PRIO3.SA,PRIO3,Prio SA,stock,
BRAV3.SA,BRAV3,Brava Energia,stock,
CPUR11.SA,CPUR11,Capitania HBC Renda Urbana Fundo de Investimento Imobiliario Responsabilidade Limitada,fund,
AURE3.SA,AURE3,Auren Energia SA,stock,
ECOR3.SA,ECOR3,EcoRodovias Infraestrutura e Logistica S.A.,stock,
FNOR11.SA,FNOR11,Finor Pfd,fund,
IFCM3.SA,IFCM3,Infracommerce CXAAS SA,stock,
TIMS3.SA,TIMS3,TIM S.A.,stock,
CYRE3.SA,CYRE3,Cyrela Brazil Realty SA Empreendimentos e Participacoes,stock,
WEGE3.SA,WEGE3,WEG SA,stock,
DIRR3.SA,DIRR3,Direcional Engenharia S.A.,stock,
KLBN11.SA,KLBN11,Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,fund,
ANIM3.SA,ANIM3,Anima Holding SA,stock,
NVDC34.SA,NVDC34,NVIDIA Corporation Shs Unsponsored Brazilian Depository Receipt Repr 0.02083 Sh,bdr,
BBDC3.SA,BBDC3,Banco Bradesco SA,stock,
MOTV3.SA,MOTV3,Motiva Infraestrutura de Mobilidade SA,stock,
BPAC11.SA,BPAC11,Banco BTG Pactual SA Units Cons of 1 Sh + 2 Pfd Shs A,fund,
BOVA11.SA,BOVA11,iShares Ibovespa Fundo de Indice,fund,
ONCO3.SA,ONCO3,Oncoclinicas do Brasil Servicos Medicos SA,stock,
FLRY3.SA,FLRY3,Fleury SA,stock,
GGBR4.SA,GGBR4,Gerdau S.A. Pfd,stock,
SUZB3.SA,SUZB3,Suzano S.A.,stock,
SIMH3.SA,SIMH3,Simpar SA,stock,
MULT3.SA,MULT3,Multiplan Empreendimentos Imobiliarios SA,stock,
BHIA3.SA,BHIA3,Grupo Casas Bahia S.A.,stock,
EMBR3.SA,EMBR3,Embraer S.A.,stock,
BBSE3.SA,BBSE3,BB Seguridade Participacoes SA,stock,
RAPT4.SA,RAPT4,Randoncorp S.A.,stock,
EQTL3.SA,EQTL3,Equatorial S.A.,stock,
ELET3.SA,ELET3,Centrais Eletricas Brasileiras SA-Eletrobras,stock,
